================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: MBE1BF6ECBD, driver: driver1 ----------------------------------
2015-11-07 11:40:33,412 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects337
2015-11-07 11:40:33,441 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects338
2015-11-07 11:40:33,472 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects339
2015-11-07 11:40:33,510 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects340
2015-11-07 11:40:33,522 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects341
2015-11-07 11:40:33,535 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects342
2015-11-07 11:40:33,548 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects343
2015-11-07 11:40:33,562 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects344
2015-11-07 11:40:33,575 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects345
2015-11-07 11:40:33,588 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects346
2015-11-07 11:40:33,603 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects347
2015-11-07 11:40:33,616 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects348
2015-11-07 11:40:33,629 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects349
2015-11-07 11:40:33,646 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects350
2015-11-07 11:40:33,660 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects351
2015-11-07 11:40:33,679 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects352
2015-11-07 11:40:33,691 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects353
2015-11-07 11:40:33,707 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects354
2015-11-07 11:40:33,766 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects355
2015-11-07 11:40:33,778 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects356
2015-11-07 11:40:33,791 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects357
2015-11-07 11:40:33,803 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects358
2015-11-07 11:40:33,817 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects359
2015-11-07 11:40:33,829 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects360
2015-11-07 11:40:33,844 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects361
2015-11-07 11:40:33,857 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects362
2015-11-07 11:40:33,872 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects363
2015-11-07 11:40:33,888 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects364
2015-11-07 11:40:33,903 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects365
2015-11-07 11:40:33,917 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects366
2015-11-07 11:40:33,931 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects367
2015-11-07 11:40:33,945 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects368
2015-11-07 11:40:33,960 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects369
2015-11-07 11:40:33,976 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects370
2015-11-07 11:40:33,991 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects371
2015-11-07 11:40:34,019 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects372
2015-11-07 11:40:34,032 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects373
2015-11-07 11:40:34,048 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects374
2015-11-07 11:40:34,061 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects375
2015-11-07 11:40:34,078 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects376
2015-11-07 11:40:34,090 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects377
2015-11-07 11:40:34,122 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects378
2015-11-07 11:40:34,138 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects379
2015-11-07 11:40:34,413 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects380
2015-11-07 11:40:34,425 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects381
2015-11-07 11:40:34,439 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects382
2015-11-07 11:40:34,452 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects383
2015-11-07 11:40:34,465 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects384
2015-11-07 11:40:34,478 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects385
2015-11-07 11:40:34,562 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects386
2015-11-07 11:40:34,576 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects387
2015-11-07 11:40:34,589 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects388
2015-11-07 11:40:34,616 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects389
2015-11-07 11:40:34,629 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects390
2015-11-07 11:40:34,643 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects391
2015-11-07 11:40:34,657 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects392
2015-11-07 11:40:34,669 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects393
2015-11-07 11:40:34,684 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects394
2015-11-07 11:40:34,698 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects395
2015-11-07 11:40:34,712 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects396
2015-11-07 11:40:34,724 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects397
2015-11-07 11:40:34,743 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects398
2015-11-07 11:40:34,759 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects399
2015-11-07 11:40:34,773 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/myobjects400
2015-11-07 11:40:34,787 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects300
2015-11-07 11:40:34,817 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3/myobjects301
