Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sde               0.00    19.00    1.00   59.00     8.00 47336.00  1578.13     6.55  113.00  100.00  113.22  16.67 100.00
sdf               0.00    23.00    0.00   73.00     0.00 59312.00  1624.99     8.08  123.07    0.00  123.07  13.70 100.00
sdg               0.00    36.00    0.00   65.00     0.00 66616.00  2049.72     8.12  126.22    0.00  126.22  15.38 100.00
sdh               0.00    25.00    0.00   69.00     0.00 60620.00  1757.10     9.14  141.74    0.00  141.74  14.32  98.80
sdi               0.00    17.00    0.00   63.00     0.00 50708.00  1609.78     7.61  127.62    0.00  127.62  15.87 100.00
sdl               0.00    12.00    0.00   55.00     0.00 40832.00  1484.80     6.60  135.64    0.00  135.64  18.18 100.00
sdj               0.00    15.00    0.00   52.00     0.00 42912.00  1650.46     6.62  136.23    0.00  136.23  19.23 100.00
sdk               0.00    20.00    0.00   70.00     0.00 56444.00  1612.69     8.72  134.00    0.00  134.00  14.29 100.00
sdm               0.00    23.00    0.00   62.00     0.00 54060.00  1743.87     7.47  131.48    0.00  131.48  16.13 100.00
sdo               0.00    12.00    0.00   55.00     0.00 45972.00  1671.71     6.06  117.75    0.00  117.75  18.18 100.00
sdn               0.00    12.00    0.00   44.00     0.00 34320.00  1560.00     4.52  115.91    0.00  115.91  22.73 100.00
sdp               0.00    28.00    0.00   72.00     0.00 66080.00  1835.56     9.60  141.28    0.00  141.28  13.89 100.00
sdr               0.00    17.00    0.00   60.00     0.00 50720.00  1690.67     7.64  129.47    0.00  129.47  16.67 100.00
sds               0.00    10.00    0.00   55.00     0.00 38772.00  1409.89     6.52  128.15    0.00  128.15  18.11  99.60
sdt               0.00    23.00    0.00   65.00     0.00 57736.00  1776.49     8.27  131.20    0.00  131.20  15.38 100.00
sdq               0.00    16.00    0.00   59.00     0.00 42656.00  1445.97     6.50  117.08    0.00  117.08  16.95 100.00
sdv               0.00    20.00    0.00   58.00     0.00 50724.00  1749.10     7.73  140.41    0.00  140.41  17.24 100.00
sdw               0.00    12.00    0.00   55.00     0.00 39520.00  1437.09     5.90  120.58    0.00  120.58  18.18 100.00
sdu               0.00     9.00    0.00   52.00     0.00 36220.00  1393.08     5.93  113.69    0.00  113.69  19.23 100.00
sdy               0.00     7.00    0.00   26.00     0.00 18348.00  1411.38     2.95  102.46    0.00  102.46  36.31  94.40
sdx               0.00    28.00    0.00   72.00     0.00 64532.00  1792.56     9.68  131.17    0.00  131.17  13.94 100.40
sdz               0.00    15.00    0.00    9.00     0.00   564.00   125.33     0.10   10.67    0.00   10.67  10.67   9.60
dm-0              0.00     0.00    0.00   24.00     0.00   564.00    47.00     0.28   11.50    0.00   11.50   4.00   9.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          53.78    0.00   29.79    7.13    0.00    9.30

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    14.00    0.00   45.00     0.00 33296.00  1479.82     2.96   62.84    0.00   62.84  21.42  96.40
sdb               0.00    22.00    0.00   76.00     0.00 62348.00  1640.74     6.84   88.11    0.00   88.11  13.16 100.00
sdc               0.00    22.00    0.00   65.00     0.00 50396.00  1550.65     4.84   73.29    0.00   73.29  15.20  98.80
sdd               0.00    18.00    0.00   77.00     0.00 58860.00  1528.83     6.34   86.18    0.00   86.18  12.99 100.00
