       p2p2       
 KB/s in  KB/s out
85704.91  57192.56
64657.44  44274.93
84364.26  56556.52
131967.4  93388.40
122022.0  75784.29
129644.9  88911.84
122552.7  75497.60
151490.7  90205.54
       p2p2       
 KB/s in  KB/s out
124934.9  77509.31
119098.3  86329.80
165699.1  107409.8
122378.0  85732.01
157101.6  120902.6
141385.2  86419.89
129856.0  82694.37
148938.7  100355.3
126612.3  76415.60
156068.9  96506.47
116513.9  84915.12
134093.4  90691.43
144551.0  91868.21
151455.8  110121.0
138473.1  86994.20
129125.9  79706.39
140779.9  91731.76
141330.3  97845.68
114844.1  95412.27
17676.14   7405.57
 1506.99   1662.06
  751.99    414.05
       p2p2       
 KB/s in  KB/s out
  596.36    562.34
  429.75    380.10
  516.15    409.81
  616.03    547.06
38771.19  20581.39
148835.1  114145.8
135812.0  89149.89
136261.5  87617.60
126544.9  88197.39
170912.1  122392.0
135947.3  93304.83
130057.0  91834.47
135291.6  99966.34
121280.7  92072.55
138629.2  89269.17
149660.7  106681.6
145552.8  97681.43
141173.7  100625.4
136867.9  92173.93
187474.2  143025.6
133265.6  73678.22
157054.5  89781.58
       p2p2       
 KB/s in  KB/s out
158250.4  106104.1
149000.1  93392.82
143454.0  96411.83
119555.8  82754.62
134135.3  94968.67
155248.9  106640.5
164749.0  111166.0
131921.2  70419.86
131743.9  90475.26
97913.30  59750.62
137630.7  86122.85
127624.1  90775.74
147039.9  106815.7
138556.7  80465.87
131434.8  83672.31
120873.4  82725.30
127459.5  86963.28
110263.1  73121.71
141709.8  81871.44
138256.1  103178.1
134509.5  92475.87
152835.3  98275.15
       p2p2       
 KB/s in  KB/s out
147658.8  103611.5
128707.6  84945.36
146433.4  103563.7
127848.4  96675.13
133905.6  79018.50
149265.3  108137.8
150237.2  110054.9
123622.6  87183.70
144935.0  80751.06
136077.9  94655.61
150209.3  107192.0
131031.3  99056.48
157250.8  113489.3
116517.0  71327.14
175232.6  111893.6
158874.2  86857.38
159988.6  120753.9
92090.72  62515.47
101832.7  65586.06
119520.5  75799.85
147329.4  97679.74
119369.3  74398.68
       p2p2       
 KB/s in  KB/s out
123344.4  87495.82
127498.0  78263.44
133126.1  95740.02
153714.4  115829.1
146906.5  93235.84
154898.7  113849.9
155482.0  117891.2
139044.5  105849.8
133257.8  88339.20
148678.0  93987.62
134949.1  88270.97
153705.2  115330.2
143690.2  113940.7
148050.7  107587.1
143900.9  105502.7
173679.3  123612.9
146494.1  92445.46
151336.8  101094.5
130187.4  89146.54
161698.3  108183.5
160647.9  109065.4
143295.4  92095.35
       p2p2       
 KB/s in  KB/s out
131131.6  88586.85
116969.9  86060.41
130187.8  79210.09
113585.1  76060.23
117196.7  72968.98
137336.9  105474.6
68806.62  54018.75
131475.4  102889.6
151514.4  96939.46
153324.3  108755.9
139371.1  93911.72
155500.5  114049.5
150282.4  107009.0
123416.2  72760.26
143505.8  105009.5
123423.9  79476.45
140052.2  98984.46
150127.9  98400.84
150873.5  102637.5
140522.4  85091.04
152649.4  97728.86
170335.4  108529.4
       p2p2       
 KB/s in  KB/s out
152326.9  105575.1
155815.9  95364.86
160131.4  112083.3
168074.1  114263.0
136277.3  94295.69
145097.9  103473.6
125134.8  80043.63
173426.1  117880.6
169035.3  101498.0
107901.5  60352.41
105205.0  63335.96
122036.7  104525.8
104138.3  58732.16
144922.9  106063.5
66050.86  48409.94
80369.35  54283.61
19031.19  15864.25
13370.24   9419.65
 1258.93    534.96
  916.39    649.70
  508.29    444.61
  392.18    363.00
       p2p2       
 KB/s in  KB/s out
  608.34    552.24
60375.07  44699.05
157349.7  85523.17
183852.3  120807.9
157407.8  108132.4
183580.8  98741.95
174191.8  117734.2
176135.4  104218.8
132104.5  97927.41
169160.6  102342.2
128917.1  86522.93
138664.4  85064.55
147174.8  89000.28
158995.2  121666.0
165472.4  132589.8
105799.5  70311.94
144361.8  97106.83
157405.2  104974.1
181975.9  114850.7
136321.5  94093.14
142014.5  93510.91
126677.3  81081.57
       p2p2       
 KB/s in  KB/s out
137462.8  87518.60
165015.6  122499.3
163346.4  107492.2
138629.9  97159.14
158896.2  93905.83
159814.1  92148.62
167688.7  130494.5
152725.8  117150.1
164825.1  116400.9
151922.6  100587.5
133859.9  100087.6
147509.4  89513.34
138714.8  86451.09
154391.8  121453.8
175033.1  134037.6
168588.0  118142.2
126395.6  88933.00
143399.3  97300.15
155576.0  100723.5
132108.5  94484.63
148562.5  107652.0
149620.7  115250.0
       p2p2       
 KB/s in  KB/s out
141131.7  109370.9
144602.7  90756.47
151377.7  96158.15
155883.7  100382.6
145487.7  108072.4
10331.96   5848.12
69830.54  44409.89
133250.7  91780.13
124498.5  86848.81
154836.1  103017.4
137091.4  85708.21
149670.8  106553.9
112558.0  71774.93
126389.0  88687.42
137028.1  106445.8
157961.2  114069.9
134168.1  85751.71
109694.3  83427.03
148675.3  112379.1
169890.9  110041.8
153782.9  101125.4
164496.0  101918.7
       p2p2       
 KB/s in  KB/s out
174732.6  106584.5
107523.9  60679.27
150959.3  94556.00
153306.0  110651.6
160429.3  107414.4
158759.3  107131.4
140136.4  97416.44
138457.8  84620.74
162046.4  106638.4
147004.9  88076.72
154238.5  110136.8
169733.2  115895.6
109186.3  64536.86
148307.7  97692.86
108393.9  65702.14
125878.2  88691.99
126004.5  83384.47
117672.4  75662.34
127855.6  90733.30
144673.6  104352.0
147856.8  101072.5
139693.1  94394.70
       p2p2       
 KB/s in  KB/s out
157674.5  105359.4
134584.4  104706.1
133401.0  97397.64
156210.4  115779.6
140672.7  102336.6
141835.0  101789.8
153838.0  114155.7
124844.6  80178.66
145454.1  95031.37
162181.7  98268.33
137338.9  99891.31
144886.1  103119.6
147785.8  96724.70
124768.5  89253.63
131939.0  76406.92
147074.5  94553.27
128247.9  91859.14
140896.1  105978.1
143060.3  97353.82
138821.6  104499.0
154820.8  87249.86
135762.6  89703.54
       p2p2       
 KB/s in  KB/s out
109471.7  62969.07
147909.5  120470.9
131612.8  95396.34
167706.9  128811.6
162374.0  99253.12
147813.8  91250.12
129684.2  92870.29
154258.7  104463.7
119357.6  77164.37
147147.7  106376.1
179961.3  132721.0
161809.0  93238.02
80596.28  58773.44
47796.70  24507.87
41857.51  22064.52
32929.34  19105.00
 9312.45   3866.11
  540.20    401.89
  517.06    463.78
  451.77    421.03
  526.92    523.20
  311.53    245.27
       p2p2       
 KB/s in  KB/s out
  526.04    485.58
  485.45    457.68
  529.11    529.30
  512.84    512.11
89351.10  51868.90
153340.6  112536.7
176422.5  123831.2
155934.4  106977.1
163491.1  109462.0
143807.2  89251.14
