Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w9-s19-1m-128t-1,write,7089,7259136000,128,1067.06,220.69,1070,1570,2010,2480,3730,15240,119.84,122717324.84,99.52%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(1024)KB
w9-s20-16m-1t-1,write,85,1392640000,1,695.11,470.11,660,780,960,1180,1760,2210,1.43,23365266.85,93.41%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s21-16m-4t-1,write,372,6094848000,4,636.56,413.78,630,710,820,930,1560,2090,6.25,102434745.11,95.38%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s22-16m-16t-1,write,447,7323648000,16,2097.49,136.32,2170,2830,3360,3730,4550,5090,7.61,124716949.55,95.92%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s23-16m-32t-1,write,431,7061504000,32,4230.54,153.47,4580,5620,6540,7050,8040,8700,7.56,123818398.11,97.51%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s24-16m-64t-1,write,413,6766592000,64,8445.78,197.67,8680,11350,13720,15140,16640,20840,7.52,123170907.37,98.57%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s25-16m-128t-1,write,381,6242304000,128,16710.85,210.57,17770,20810,22420,23650,27070,29490,7.68,125793310.38,99.74%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(16384)KB
w9-s26-64m-1t-1,write,24,1572864000,1,2422.46,624.63,2430,2890,3020,3180,3760,4180,0.41,27053044.38,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w9-s27-64m-4t-1,write,104,6815744000,4,2273.61,523.01,2310,2690,2910,3090,3540,3960,1.76,115079745.39,97.2%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w9-s28-64m-16t-1,write,107,7012352000,16,8374.34,169.91,8890,11140,12560,14370,14890,17350,1.91,125438558.25,99.07%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w9-s29-64m-32t-1,write,97,6356992000,32,16911.92,149.72,18750,20370,21240,21760,23430,23650,1.89,124142371.98,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w9-s30-64m-64t-1,write,82,5373952000,64,33483.6,142.18,35820,43950,47000,49100,51490,56190,1.94,127062107.38,98.8%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w9-s31-64m-128t-1,write,16,1048576000,128,56730.5,153.56,57350,58930,59140,59780,59780,59990,0.28,18552184.36,100%,100% cprefix=dsswritebench containers=u(1-50) oprefix= osuffix=myobject objects=u(1-100) sizes=c(65536)KB
w10-s1-cleanup-1,cleanup-delete,5000,0,1,18.83,18.83,20,20,30,40,90,730,53.05,0,100%,100% cprefix=dsswritebench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) cprefix=dsswritebench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) cprefix=dsswritebench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) deleteContainer=false cprefix=dsswritebench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100)
w10-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-300)
w11-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dssreadbench containers=r(1-50) cprefix=dssreadbench containers=r(1-50) cprefix=dssreadbench containers=r(1-50) objects=r(0-0) sizes=c(0)B cprefix=dssreadbench containers=r(1-50)
w11-s2-1k-1t-write-1,write,3337,3337000,1,35.85,35.85,40,50,60,70,150,1220,27.81,27809.96,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10) sizes=c(1)KB
w11-s3-64k-1t-write-1,write,2561,163904000,1,46.76,46.35,50,60,70,90,130,1720,21.34,1365980.5,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10) sizes=c(64)KB
w11-s4-1m-1t-write-1,write,1327,1358848000,1,90.34,85.44,90,110,120,140,210,460,11.06,11325054.59,100%,100% cprefix=dssreadbench containers=u(21-30) oprefix= osuffix=myobject objects=r(1-10) sizes=c(1024)KB
w11-s5-16m-1t-write-1,write,168,2752512000,1,697.38,545.96,700,810,950,1120,1550,1640,1.42,23195065.22,97.67%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10) sizes=c(16384)KB
w11-s6-64m-1t-write-1,write,36,2359296000,1,3313.25,685.22,2440,2900,3300,3990,6860,30660,0.3,19674900.35,85.71%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10) sizes=c(65536)KB
w14-s1-64m-1t-write-1,write,548,35913728000,8,3794.83,320.89,3670,4830,5820,6350,8690,43010,2.06,135124682.78,91.18%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10) sizes=c(65536)KB
w15-s1-1k-1t-1,read,3467,3467000,1,17.29,17.26,20,20,30,40,110,420,57.79,57789.11,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s2-1k-4t-1,read,16096,16096000,4,14.86,14.85,20,20,20,30,80,1100,269.01,269008.83,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s3-1k-16t-1,read,67509,67509000,16,14.22,14.21,20,20,20,30,80,1830,1125.23,1125231.68,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s4-1k-32t-1,read,135249,135249000,32,14.19,14.18,20,20,20,30,80,1810,2254.39,2254388.07,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s5-1k-64t-1,read,271175,271175000,64,14.15,14.15,20,20,20,30,70,1990,4520.41,4520408.6,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s6-1k-128t-1,read,515860,515860000,128,14.88,14.87,20,20,20,30,90,1770,8599.03,8599034.3,100%,100% cprefix=dssreadbench containers=u(1-10) oprefix= osuffix=myobject objects=r(1-10)
w15-s7-64k-1t-1,read,3817,244288000,1,15.7,14.05,20,20,20,40,70,440,63.66,4074454.6,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
w15-s8-64k-4t-1,read,11798,755072000,4,20.34,18.18,20,20,30,50,140,1930,196.64,12585278.19,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
w15-s9-64k-16t-1,read,58145,3721280000,16,16.48,14.84,20,20,20,30,90,1240,970.81,62131788.42,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
w15-s10-64k-32t-1,read,113346,7254144000,32,16.93,14.35,20,20,20,30,90,1570,1889.61,120934796.82,100%,100% cprefix=dssreadbench containers=u(11-20) oprefix= osuffix=myobject objects=r(1-10)
