================================================== stage: s1-init ==================================================
---------------------------------- mission: MDE1FCE4AB7, driver: driver1 ----------------------------------
2015-11-07 12:48:11,565 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/7myobject
2015-11-07 12:48:11,596 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:11,632 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/9myobject
2015-11-07 12:48:11,655 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/10myobject
2015-11-07 12:48:11,686 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/1myobject
2015-11-07 12:48:11,725 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:11,797 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/3myobject
2015-11-07 12:48:11,822 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/4myobject
2015-11-07 12:48:11,843 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/5myobject
2015-11-07 12:48:11,872 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:11,977 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/7myobject
2015-11-07 12:48:12,001 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/8myobject
2015-11-07 12:48:12,042 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/9myobject
2015-11-07 12:48:12,066 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/10myobject
2015-11-07 12:48:12,091 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/1myobject
2015-11-07 12:48:12,133 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/2myobject
2015-11-07 12:48:12,159 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/3myobject
2015-11-07 12:48:12,188 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/4myobject
2015-11-07 12:48:12,231 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/5myobject
2015-11-07 12:48:12,250 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/6myobject
2015-11-07 12:48:12,402 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/7myobject
2015-11-07 12:48:12,431 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/8myobject
2015-11-07 12:48:12,468 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/9myobject
2015-11-07 12:48:12,486 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/10myobject
2015-11-07 12:48:12,760 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/1myobject
2015-11-07 12:48:12,791 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/2myobject
2015-11-07 12:48:12,830 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/3myobject
2015-11-07 12:48:12,961 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/4myobject
2015-11-07 12:48:12,994 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/5myobject
2015-11-07 12:48:13,023 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/6myobject
2015-11-07 12:48:13,057 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/7myobject
2015-11-07 12:48:13,078 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/8myobject
2015-11-07 12:48:13,128 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/9myobject
2015-11-07 12:48:13,148 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/10myobject
2015-11-07 12:48:13,181 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/1myobject
2015-11-07 12:48:13,220 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/2myobject
2015-11-07 12:48:13,252 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/3myobject
2015-11-07 12:48:13,274 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/4myobject
2015-11-07 12:48:13,321 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/5myobject
2015-11-07 12:48:13,339 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/6myobject
2015-11-07 12:48:13,363 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/7myobject
2015-11-07 12:48:13,400 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/8myobject
2015-11-07 12:48:13,423 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/9myobject
2015-11-07 12:48:13,467 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/10myobject
2015-11-07 12:48:13,499 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/1myobject
2015-11-07 12:48:13,522 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:13,563 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/3myobject
