Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.45    0.00    3.58    1.57    0.00   86.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdq               0.00    60.00    3.00  175.00    24.00 13265.50   149.32    65.83  172.29  237.33  171.18   5.62 100.00
sdz               0.00   120.00    0.00   78.00     0.00 20064.00   514.46     1.98   25.38    0.00   25.38  10.87  84.80
dm-0              0.00     0.00    0.00  198.00     0.00 20064.00   202.67     3.80   19.17    0.00   19.17   4.28  84.80
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          37.91    0.00   16.87   18.25    0.00   26.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    21.00    0.00   56.00     0.00 47480.00  1695.71    11.72  240.14    0.00  240.14  17.93 100.40
sdb               0.00     7.00    0.00   40.00     0.00 25352.00  1267.60     8.16  254.90    0.00  254.90  25.00 100.00
sdc               0.00    42.00    1.00  221.00     8.00 36470.00   328.63    38.02  166.94  500.00  165.43   4.50 100.00
sdd               0.00    15.00    0.00   31.00     0.00 29496.00  1902.97    10.29  349.94    0.00  349.94  32.26 100.00
sdf               0.00    21.00    2.00   47.00    16.00 40704.00  1662.04    11.41  239.92  188.00  242.13  20.41 100.00
sde               0.00    14.00    0.00   42.00     0.00 36552.00  1740.57    10.31  291.81    0.00  291.81  23.81 100.00
sdg               0.00    15.00    0.00   40.00     0.00 31613.00  1580.65     9.88  314.90    0.00  314.90  25.00 100.00
sdh               0.00    11.00    0.00   36.00     0.00 26936.00  1496.44     9.13  247.22    0.00  247.22  27.78 100.00
sdi               0.00    12.00    2.00  281.00    16.00 25944.00   183.46    54.00  391.21  194.00  392.61   3.53 100.00
sdj               0.00    49.00    3.00  319.00    24.00 15786.00    98.20    53.80  172.10  284.00  171.05   3.11 100.00
sdk               0.00    13.00    0.00   49.00     0.00 34742.00  1418.04    11.84  265.14    0.00  265.14  20.41 100.00
sdl               0.00    11.00    0.00   36.00     0.00 31616.00  1756.44     9.07  272.67    0.00  272.67  27.78 100.00
sdm               0.00    45.00    3.00  208.00    24.00 41634.00   394.86    48.98  207.11  301.33  205.75   4.74 100.00
sdo               0.00    20.00    0.00   51.00     0.00 46424.00  1820.55     9.94  242.27    0.00  242.27  19.61 100.00
sdn               0.00    16.00    0.00   46.00     0.00 42528.00  1849.04    10.70  282.87    0.00  282.87  21.74 100.00
sdp               0.00     9.00    0.00   38.00     0.00 26672.00  1403.79     6.87  206.74    0.00  206.74  26.32 100.00
