Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

11:18:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:35 AM  all   62.67    0.00   11.95    7.12    0.00    2.42    0.00    0.00    0.00   15.85
11:20:36 AM  all   70.06    0.00   14.71    4.49    0.00    2.44    0.00    0.00    0.00    8.30
11:20:37 AM  all   61.77    0.00   14.32    7.52    0.00    3.19    0.00    0.00    0.00   13.21
11:20:38 AM  all   79.84    0.00   14.36    1.04    0.00    3.59    0.00    0.00    0.00    1.17
11:20:39 AM  all   80.08    0.00   14.81    0.59    0.00    3.39    0.00    0.00    0.00    1.13
11:20:40 AM  all   80.42    0.00   14.23    1.00    0.00    3.18    0.00    0.00    0.00    1.17
11:20:41 AM  all   80.84    0.00   14.17    1.01    0.00    2.56    0.00    0.00    0.00    1.43
11:20:42 AM  all   80.55    0.00   14.30    1.05    0.00    2.72    0.00    0.00    0.00    1.38
11:20:43 AM  all   79.45    0.00   14.75    1.04    0.00    3.80    0.00    0.00    0.00    0.96
11:20:44 AM  all   80.94    0.00   14.26    0.79    0.00    3.13    0.00    0.00    0.00    0.88
11:20:45 AM  all   79.82    0.00   14.35    1.68    0.00    2.64    0.00    0.00    0.00    1.51
11:20:46 AM  all   52.45    0.00   12.02   16.11    0.00    2.34    0.00    0.00    0.00   17.09
11:20:47 AM  all   40.93    0.00   10.88   15.99    0.00    1.98    0.00    0.00    0.00   30.22
11:20:48 AM  all   68.47    0.00   13.51    6.42    0.00    2.25    0.00    0.00    0.00    9.35
11:20:49 AM  all   80.41    0.00   13.41    1.46    0.00    2.67    0.00    0.00    0.00    2.05
11:20:50 AM  all   80.10    0.00   14.26    1.05    0.00    3.22    0.00    0.00    0.00    1.38
11:20:51 AM  all   80.22    0.00   14.21    1.30    0.00    2.35    0.00    0.00    0.00    1.93
11:20:52 AM  all   82.11    0.00   12.69    1.13    0.00    2.68    0.00    0.00    0.00    1.38
11:20:53 AM  all   82.48    0.00   13.32    0.71    0.00    2.21    0.00    0.00    0.00    1.29
11:20:54 AM  all   82.57    0.00   12.83    0.84    0.00    2.42    0.00    0.00    0.00    1.34
11:20:55 AM  all   82.45    0.00   12.91    0.54    0.00    2.67    0.00    0.00    0.00    1.42
11:20:56 AM  all   76.77    0.00   14.80    1.05    0.00    2.45    0.00    0.00    0.00    4.93
11:20:57 AM  all   73.62    0.00   15.42    1.52    0.00    3.33    0.00    0.00    0.00    6.11
11:20:58 AM  all   75.43    0.00   14.56    1.90    0.00    3.55    0.00    0.00    0.00    4.56
11:20:59 AM  all   79.27    0.00   14.57    0.83    0.00    3.71    0.00    0.00    0.00    1.62
11:21:00 AM  all   80.13    0.00   13.80    0.79    0.00    3.76    0.00    0.00    0.00    1.51
11:21:01 AM  all   79.92    0.00   14.45    0.58    0.00    3.97    0.00    0.00    0.00    1.09
11:21:02 AM  all   79.92    0.00   13.55    1.13    0.00    3.93    0.00    0.00    0.00    1.46
11:21:03 AM  all   79.23    0.00   14.58    1.21    0.00    3.30    0.00    0.00    0.00    1.67
11:21:04 AM  all   79.04    0.00   14.66    1.13    0.00    3.97    0.00    0.00    0.00    1.21
11:21:05 AM  all   79.54    0.00   14.33    1.00    0.00    3.71    0.00    0.00    0.00    1.42
11:21:06 AM  all   79.68    0.00   13.55    1.55    0.00    3.47    0.00    0.00    0.00    1.76
11:21:07 AM  all   71.25    0.00   14.67    3.76    0.00    3.59    0.00    0.00    0.00    6.72
11:21:08 AM  all   67.95    0.00   16.15    5.34    0.00    3.14    0.00    0.00    0.00    7.42
11:21:09 AM  all   70.34    0.00   15.09    4.63    0.00    3.78    0.00    0.00    0.00    6.16
11:21:10 AM  all   70.08    0.00   15.27    4.47    0.00    3.38    0.00    0.00    0.00    6.79
11:21:11 AM  all   72.70    0.00   15.43    2.98    0.00    3.73    0.00    0.00    0.00    5.16
11:21:12 AM  all   64.74    0.00   14.31    6.00    0.00    3.34    0.00    0.00    0.00   11.61
11:21:13 AM  all   76.48    0.00   14.71    2.19    0.00    4.01    0.00    0.00    0.00    2.61
11:21:14 AM  all   75.73    0.00   14.36    2.90    0.00    3.61    0.00    0.00    0.00    3.40
11:21:15 AM  all   75.80    0.00   15.96    2.01    0.00    3.84    0.00    0.00    0.00    2.38
11:21:16 AM  all   78.44    0.00   14.40    1.51    0.00    3.98    0.00    0.00    0.00    1.67
11:21:17 AM  all   77.77    0.00   14.38    1.88    0.00    4.22    0.00    0.00    0.00    1.76
11:21:18 AM  all   75.37    0.00   15.46    2.60    0.00    3.64    0.00    0.00    0.00    2.93
11:21:19 AM  all   77.94    0.00   14.57    1.72    0.00    4.14    0.00    0.00    0.00    1.63
11:21:20 AM  all   79.68    0.00   14.42    1.25    0.00    3.34    0.00    0.00    0.00    1.30
11:21:21 AM  all   78.79    0.00   14.66    1.04    0.00    4.09    0.00    0.00    0.00    1.42
11:21:22 AM  all   80.02    0.00   13.59    0.96    0.00    4.47    0.00    0.00    0.00    0.96
11:21:23 AM  all   72.01    0.00   16.16    4.21    0.00    3.41    0.00    0.00    0.00    4.21
11:21:24 AM  all   72.43    0.00   15.65    4.20    0.00    4.15    0.00    0.00    0.00    3.57
11:21:25 AM  all   78.06    0.00   13.86    2.30    0.00    3.98    0.00    0.00    0.00    1.80
11:21:26 AM  all   77.60    0.00   14.41    2.01    0.00    4.19    0.00    0.00    0.00    1.80
11:21:27 AM  all   79.18    0.00   14.21    1.25    0.00    3.72    0.00    0.00    0.00    1.63
11:21:28 AM  all   72.75    0.00   14.83    4.26    0.00    4.89    0.00    0.00    0.00    3.26
11:21:29 AM  all   78.81    0.00   14.28    1.37    0.00    4.66    0.00    0.00    0.00    0.87
11:21:30 AM  all   72.09    0.00   15.35    4.64    0.00    3.71    0.00    0.00    0.00    4.22
11:21:31 AM  all   75.56    0.00   16.90    1.59    0.00    4.11    0.00    0.00    0.00    1.84
11:21:32 AM  all   78.69    0.00   13.94    1.34    0.00    4.44    0.00    0.00    0.00    1.59
11:21:33 AM  all   80.17    0.00   13.70    0.75    0.00    4.43    0.00    0.00    0.00    0.96
11:21:34 AM  all   70.64    0.00   15.72    4.44    0.00    2.96    0.00    0.00    0.00    6.25
11:21:35 AM  all   65.52    0.00   12.94    7.88    0.00    3.45    0.00    0.00    0.00   10.22
11:21:36 AM  all   79.10    0.00   14.29    1.13    0.00    3.90    0.00    0.00    0.00    1.59
11:21:37 AM  all   77.77    0.00   13.89    1.58    0.00    5.42    0.00    0.00    0.00    1.33
11:21:38 AM  all   77.24    0.00   15.07    1.46    0.00    4.30    0.00    0.00    0.00    1.92
11:21:39 AM  all   77.46    0.00   14.44    2.43    0.00    3.65    0.00    0.00    0.00    2.02
11:21:40 AM  all   69.28    0.00   15.70    5.06    0.00    3.66    0.00    0.00    0.00    6.30
11:21:41 AM  all   69.38    0.00   16.28    3.90    0.00    4.07    0.00    0.00    0.00    6.38
11:21:42 AM  all   57.04    0.00   13.22    8.87    0.00    2.09    0.00    0.00    0.00   18.78
11:21:43 AM  all   73.22    0.00   13.87    1.68    0.00    5.07    0.00    0.00    0.00    6.16
11:21:44 AM  all   60.34    0.00   12.41    8.23    0.00    3.11    0.00    0.00    0.00   15.91
11:21:45 AM  all   59.01    0.00   13.38    8.79    0.00    3.22    0.00    0.00    0.00   15.61
11:21:46 AM  all   39.08    0.00    9.48   18.60    0.00    2.14    0.00    0.00    0.00   30.70
11:21:47 AM  all   55.04    0.00   12.85   10.13    0.00    2.68    0.00    0.00    0.00   19.30
