================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:37:09,607 [INFO] [NoneStorage] - performing DELETE at /dsswritebench193
2015-11-07 10:37:09,635 [INFO] [NoneStorage] - performing DELETE at /dsswritebench194
2015-11-07 10:37:09,662 [INFO] [NoneStorage] - performing DELETE at /dsswritebench195
2015-11-07 10:37:09,689 [INFO] [NoneStorage] - performing DELETE at /dsswritebench196
2015-11-07 10:37:09,722 [INFO] [NoneStorage] - performing DELETE at /dsswritebench197
2015-11-07 10:37:09,750 [INFO] [NoneStorage] - performing DELETE at /dsswritebench198
2015-11-07 10:37:09,780 [INFO] [NoneStorage] - performing DELETE at /dsswritebench199
2015-11-07 10:37:09,810 [INFO] [NoneStorage] - performing DELETE at /dsswritebench200
2015-11-07 10:37:09,837 [INFO] [NoneStorage] - performing DELETE at /dsswritebench201
2015-11-07 10:37:09,863 [INFO] [NoneStorage] - performing DELETE at /dsswritebench202
2015-11-07 10:37:09,889 [INFO] [NoneStorage] - performing DELETE at /dsswritebench203
2015-11-07 10:37:09,923 [INFO] [NoneStorage] - performing DELETE at /dsswritebench204
2015-11-07 10:37:09,960 [INFO] [NoneStorage] - performing DELETE at /dsswritebench205
2015-11-07 10:37:10,000 [INFO] [NoneStorage] - performing DELETE at /dsswritebench206
2015-11-07 10:37:10,034 [INFO] [NoneStorage] - performing DELETE at /dsswritebench207
2015-11-07 10:37:10,062 [INFO] [NoneStorage] - performing DELETE at /dsswritebench208
2015-11-07 10:37:10,093 [INFO] [NoneStorage] - performing DELETE at /dsswritebench209
2015-11-07 10:37:10,135 [INFO] [NoneStorage] - performing DELETE at /dsswritebench210
2015-11-07 10:37:10,174 [INFO] [NoneStorage] - performing DELETE at /dsswritebench211
2015-11-07 10:37:10,202 [INFO] [NoneStorage] - performing DELETE at /dsswritebench212
2015-11-07 10:37:10,233 [INFO] [NoneStorage] - performing DELETE at /dsswritebench213
2015-11-07 10:37:10,273 [INFO] [NoneStorage] - performing DELETE at /dsswritebench214
2015-11-07 10:37:10,300 [INFO] [NoneStorage] - performing DELETE at /dsswritebench215
2015-11-07 10:37:10,326 [INFO] [NoneStorage] - performing DELETE at /dsswritebench216
2015-11-07 10:37:10,355 [INFO] [NoneStorage] - performing DELETE at /dsswritebench217
2015-11-07 10:37:10,380 [INFO] [NoneStorage] - performing DELETE at /dsswritebench218
2015-11-07 10:37:10,406 [INFO] [NoneStorage] - performing DELETE at /dsswritebench219
2015-11-07 10:37:10,435 [INFO] [NoneStorage] - performing DELETE at /dsswritebench220
2015-11-07 10:37:10,459 [INFO] [NoneStorage] - performing DELETE at /dsswritebench221
2015-11-07 10:37:10,484 [INFO] [NoneStorage] - performing DELETE at /dsswritebench222
2015-11-07 10:37:10,518 [INFO] [NoneStorage] - performing DELETE at /dsswritebench223
2015-11-07 10:37:10,552 [INFO] [NoneStorage] - performing DELETE at /dsswritebench224
2015-11-07 10:37:10,607 [INFO] [NoneStorage] - performing DELETE at /dsswritebench225
2015-11-07 10:37:10,634 [INFO] [NoneStorage] - performing DELETE at /dsswritebench226
2015-11-07 10:37:10,671 [INFO] [NoneStorage] - performing DELETE at /dsswritebench227
2015-11-07 10:37:10,708 [INFO] [NoneStorage] - performing DELETE at /dsswritebench228
2015-11-07 10:37:10,733 [INFO] [NoneStorage] - performing DELETE at /dsswritebench229
2015-11-07 10:37:10,763 [INFO] [NoneStorage] - performing DELETE at /dsswritebench230
2015-11-07 10:37:10,791 [INFO] [NoneStorage] - performing DELETE at /dsswritebench231
2015-11-07 10:37:10,823 [INFO] [NoneStorage] - performing DELETE at /dsswritebench232
2015-11-07 10:37:10,870 [INFO] [NoneStorage] - performing DELETE at /dsswritebench233
2015-11-07 10:37:10,894 [INFO] [NoneStorage] - performing DELETE at /dsswritebench234
2015-11-07 10:37:10,918 [INFO] [NoneStorage] - performing DELETE at /dsswritebench235
2015-11-07 10:37:10,945 [INFO] [NoneStorage] - performing DELETE at /dsswritebench236
2015-11-07 10:37:10,967 [INFO] [NoneStorage] - performing DELETE at /dsswritebench237
2015-11-07 10:37:10,995 [INFO] [NoneStorage] - performing DELETE at /dsswritebench238
